ensembl_gene_id	BE1	KAN	NBLW	CHLA122	CHLA15	BE2	KANR	NBLWR	CHLA136	CHLA20
ENSG00000116771	0	0	0	0	12	0	0	8	0	1
ENSG00000235084	35	36	38	30	67	39	24	29	41	32
ENSG00000197312	346	367	708	302	1037	763	498	345	340	707
ENSG00000116786	400	468	817	369	1042	925	395	543	450	690
ENSG00000162461	42	40	17	27	57	46	23	25	15	29
ENSG00000162458	153	379	122	112	367	91	119	338	34	218
ENSG00000233954	43	30	23	58	25	70	55	38	38	18
ENSG00000178715	23	30	28	5	136	40	12	29	0	57
ENSG00000179743	87	73	52	62	60	81	128	131	58	45
ENSG00000065526	1941	2459	2917	1569	4361	3726	2524	2430	2499	2824
ENSG00000116809	232	230	370	241	457	418	211	248	322	289
ENSG00000173641	1	0	5	0	2	226	0	1	0	7
ENSG00000186510	1	0	0	1	1	86	0	17	0	4
ENSG00000185519	7	7	7	9	24	84	5	27	3	13
ENSG00000142627	9	44	217	10	299	198	38	122	22	148
ENSG00000142632	49	27	73	170	160	247	215	110	213	163
ENSG00000237276	3	6	5	16	2	11	5	3	1	3
ENSG00000132881	12	10	16	8	38	39	10	16	18	17
ENSG00000233929	3	2	2	1	4	7	2	0	2	2
ENSG00000037637	412	427	655	285	811	941	543	513	422	564
ENSG00000055070	634	682	1669	525	2161	1930	789	811	784	1388
ENSG00000187144	3	1	1	3	0	2	0	2	2	3
ENSG00000157191	108	165	244	110	357	306	98	110	190	287
ENSG00000226029	17	10	10	13	46	32	9	17	30	19
ENSG00000080947	304	388	292	350	416	328	258	290	267	227
ENSG00000261135	3	3	1	1	1	1	2	2	1	4
ENSG00000233421	0	0	1	1	1	9	0	0	0	0
ENSG00000219481	146	178	439	164	519	238	100	228	253	396
ENSG00000282056	143	244	427	236	578	263	161	307	311	318
ENSG00000215908	80	113	179	91	221	113	95	132	120	169
ENSG00000186301	5	12	4	9	7	17	9	13	8	4
ENSG00000236698	14	18	13	7	25	8	11	14	11	12
ENSG00000058453	374	554	535	377	1379	741	259	488	434	768
ENSG00000228549	0	0	2	1	1	3	0	0	0	3
ENSG00000117122	276	303	346	143	727	696	58	381	137	320
ENSG00000159363	275	358	525	372	755	393	162	324	338	410
ENSG00000117118	144	266	606	164	595	500	165	190	168	494
ENSG00000117115	1	1	0	20	1	0	0	0	3	0
ENSG00000179051	2566	3390	4747	2265	6547	5658	2044	2303	2675	3932
ENSG00000074964	335	304	316	647	523	652	318	338	374	246
ENSG00000117148	1	1	35	1	14	4	1	13	0	33
ENSG00000117154	15	0	5	24	1	12	6	3	31	0
ENSG00000280222	4	0	0	6	0	2	1	1	16	0
ENSG00000009709	4	0	0	12	1	6	1	0	250	0
ENSG00000159423	87	97	116	74	142	266	38	136	81	74
ENSG00000169991	30	43	91	117	79	189	34	74	21	67
ENSG00000272084	25	14	25	16	17	29	11	37	22	18
ENSG00000127481	2974	3593	4440	3468	6114	7642	3849	4159	3647	3797
ENSG00000230424	9	5	7	5	4	15	5	6	2	5
ENSG00000127463	663	626	1144	598	1786	1414	760	691	829	1262
ENSG00000053372	340	483	1192	249	1448	848	388	446	287	1083
ENSG00000211454	28	15	19	20	32	50	31	23	9	30
ENSG00000162482	28	16	22	14	28	46	20	21	17	19
